Letter   Distribution 
a        0.06658161506103027
b        0.011614141553456083
c        0.014142702802105602
d        0.043393559064892076
e        0.10336068776865963
f        0.015217341332781647
g        0.01702756131761028
h        0.06430016320713514
i        0.04730708227018826
j        0.0007873020251476909
k        0.007608670666390823
l        0.032629933567799925
m        0.016797692113187598
n        0.05471461738270924
o        0.05750178148633427
p        0.009556812173873067
q        0.0005976599314989771
r        0.040462726708502865
s        0.04389927131462198
t        0.07564995517550514
u        0.020171022688090477
v        0.006189228329080753
w        0.023768475737305474
x        0.0008505160563639289
y        0.01430361124520148
z        0.00047697859917706823
         0.2014918511367032
.        0.007373054731857573
!        0.0012010665931085213
?        0.0010229179596809416
